;Title;Date;Time;Score;Number of Comments
158;Hospital staff break rules to grant dying mans wish: some wine and a cigarette;4/12/2017;16:15:36;312;27
159;Navy SEALs accused of profiteering, putting lives in danger;4/12/2017;23:57:01;71;32
160;Sewage pours into Upstate NY home;;;;
161;Jurors due to deliberate Nevada case of Bundy ranch standoff;4/13/2017;12:17:04;6;0
162;The Air Force Turned an F-16 Fighter Into a Drone;4/13/2017;6:18:55;22;18
163;Police Officers Shouldnt do Airlines Dirty Work: San Francisco Supervisor;4/12/2017;6:51:07;1578;587
164;Hyundai And Kia Recall 1.5 Million Vehicles Over Engine Seizure Problem;4/12/2017;20:54:25;112;16
165;See dramatic before-and-after photos of water returning to California;4/13/2017;5:43:02;22;4
166;Memphis police body cameras lead to 39-percent drop in complaints;4/12/2017;1:33:09;3851;384
167;North Miami Cop Who Shot Charles Kinsey Charged With Attempted Manslaughter;4/12/2017;23:42:20;61;18
168;Cocaine Cowboy Caught In Orlando After 26 Years On The Run;4/13/2017;6:38:08;15;3
169;Minneapolis Muslims protest sharia vigilante in Cedar-Riverside area;4/13/2017;6:28:14;16;4
170;Two Illinois men arrested for allegedly supporting ISIS, DOJ says;4/13/2017;2:30:09;34;10
171;Iowa man charged after 4-year-old boy kills self with gun.;4/13/2017;3:43:39;26;31
172;Missing Cottage Grove woman found Wednesday, chilled but alive;4/13/2017;7:49:30;12;0
173;Oklahoma City man pleads guilty to killing 18-day-old infant, repeatedly raping 13-year-old girl;4/13/2017;0:14:49;41;25
174;Mullin says he  not constituents  pays his own salary through taxes;4/12/2017;14:46:47;232;65
175;Vatican names pro-gay Fr. James Martin as communications consultant;4/12/2017;21:46:20;64;20
176;Montreal trailblazer in HIV/AIDS research dies in Florida;4/13/2017;2:26:16;24;5
177;Jury: Anti-gay Brunswick pastor guilty of 8 counts of child molestation;4/12/2017;0:31:15;3161;312
178;A small-town Iowa newspaper with a staff of 10 people - most of whom are related to each other  has won a Pulitzer Prize for taking on powerful agricultural companies over farm pollution.;4/11/2017;18:45:57;65794;1381
179;An elementary school in Florida is accused of punishing young special needs students by putting them in a so-called discipline box made partially of drywall.;4/12/2017;21:59:24;54;35
180;Airbnb signs dozens more tax agreements in the U.S., France;4/13/2017;12:02:45;5;0
181;Maryland lawmakers approve bill to fight drug price-gouging;4/12/2017;18:52:06;95;3
182;Fire burns under railroad bridge in Atlanta;4/13/2017;15:35:39;2;1
183;Mobile phone motion sensors can be used to crack your PIN;4/13/2017;2:19:58;22;10
184;AP Exclusive: UN child sex ring left victims but no arrests;4/12/2017;17:09:17;113;9
185;Judge sacked for trolling people on online;4/12/2017;18:50:26;81;16
186;AP Exclusive: UN child sex ring left victims but no arrests;4/13/2017;1:50:23;22;2
187;Dogs Amazing Escape from Shelter Caught on Tape;4/12/2017;21:54:07;45;8
188;BBC antiques expert died after postpartum psychotic episode;4/13/2017;2:33:56;17;18
189;Professional wrestler Kane making bid for mayor in Tennessee;4/12/2017;17:22:30;95;39
190;Investigation finds inmates built computers and hid them in ceiling at Marion Prison;4/12/2017;14:24:40;166;39
191;Illinois woman admits plotting massacre at Halifax Shopping Centre;4/13/2017;7:11:59;6;2
192;No charges for California police who fatally shot Guatemalan.;4/13/2017;3:35:10;14;6
193;Man wrongfully convicted in 1957 cold case murder declared innocent;4/13/2017;1:13:03;21;5
194;Worst wildfire season in years prompts a state of emergency in Florida;4/13/2017;6:36:03;7;1
195;Newlyweds both contract brain-invading parasite during honeymoon;4/12/2017;17:58:37;68;20
196;Police remove evidence from Waikiki unit where human remains found;4/13/2017;4:05:22;13;0
197;Notice to the media: Government of Canada to make an important announcement;4/12/2017;23:22:05;25;14
198;Texas teacher had sex with 17-year-old softball player about 10 times, police say;4/12/2017;22:39:45;28;61
199;Missing skier found dead near Snoqualmie Pass;4/13/2017;7:49:04;6;3
