ActivityNumber,HobbyName,ActivityName,SeasonName,Status,CategoryName,Community Center,NumberEnrolled,BeginningDate,EndingDate,StartingTime,EndingTime,Minimum Age,Maximum Age,WeekDays,NumberOfHours,NumberOfDates, Fee 
213.2.1803,Autographs,Mixed Media Art,Fall 2015,Closed,Active Adults (50+) Classes,Berryessa Community Center,15,02/10/2015,06/11/2015,01:00 p. m.,03:00 p. m.,50,99,F,12,6, $59.00 
213.2.1806,Automotive work/repair,Mixed Media Art,Fall 2015,Closed,Active Adults (50+) Classes,Berryessa Community Center,12,13/11/2015,18/12/2015,01:00 p. m.,03:00 p. m.,50,99,F,10,5, $50.00 
213.2.1804,BMX tricks,Watercolor Mania,Fall 2015,Closed,Active Adults (50+) Classes,Berryessa Community Center,16,21/08/2015,25/09/2015,10:00 a. m.,12:00 p. m.,50,99,F,12,6, $59.00 
213.2.1805,Back packing,Watercolor Mania,Fall 2015,Closed,Active Adults (50+) Classes,Berryessa Community Center,16,02/10/2015,06/11/2015,10:00 a. m.,12:00 p. m.,50,99,F,12,6, $59.00 
213.2.1807,Backgamon,Watercolor Mania,Fall 2015,Closed,Active Adults (50+) Classes,Berryessa Community Center,15,13/11/2015,18/12/2015,10:00 a. m.,12:00 p. m.,50,99,F,10,5, $50.00 
257.2.1801,Backpacking,Antiques: The Incurable Collector in All of Us,Fall 2015,Closed,Active Adults (50+) Classes,Camden Community Center,19,08/09/2015,13/10/2015,10:00 a. m.,12:00 p. m.,50,0,Tu,12,6, $110.00 
257.2.1805,Badge Collecting,Arthritis Foundation Exercise Program,Fall 2015,Closed,Active Adults (50+) Classes,Camden Community Center,9,21/10/2015,18/11/2015,10:15 a. m.,11:15 a. m.,50,0,W F,8,8, $37.00 
257.2.1807,Badminton,Arthritis Foundation Exercise Program,Fall 2015,Cancelled,Active Adults (50+) Classes,Camden Community Center,0,20/11/2015,09/12/2015,10:15 a. m.,11:15 a. m.,50,0,W F,0,0, $23.00 
257.2.1809,Baking,Arthritis Foundation Exercise Program,Fall 2015,Closed,Active Adults (50+) Classes,Camden Community Center,16,26/08/2015,18/09/2015,10:15 a. m.,11:15 a. m.,50,0,W F,8,8, $29.00 
257.2.1810,Ballet,Arthritis Foundation Exercise Program,Fall 2015,Closed,Active Adults (50+) Classes,Camden Community Center,12,23/09/2015,16/10/2015,10:15 a. m.,11:15 a. m.,50,0,W F,8,8, $37.00 
257.2.1804,Ballet Dancing,Beginning Bridge Class,Fall 2015,Cancelled,Active Adults (50+) Classes,Camden Community Center,0,02/09/2015,07/10/2015,09:30 a. m.,11:00 a. m.,50,0,W,0,0, $42.00 
257.2.2105,Ballooning,Cantor Art Museum,Fall 2015,Closed,Active Adults (50+) Classes,Camden Community Center,10,18/11/2015,18/11/2015,11:00 a. m.,07:00 p. m.,50,0,W,8,1, $29.00 
257.2.1802,Scuba,Dance Fit,Fall 2015,Cancelled,Active Adults (50+) Classes,Camden Community Center,0,14/09/2015,21/09/2015,09:00 a. m.,10:00 a. m.,50,0,M,2,2, $48.00 
257.2.1803,Scuba Diving,Dance Fit,Fall 2015,Cancelled,Active Adults (50+) Classes,Camden Community Center,1,16/11/2015,14/12/2015,09:00 a. m.,10:00 a. m.,50,0,M,0,0, $33.00 
257.2.1813,Scuba diving,Dance Fit,Fall 2015,Closed,Active Adults (50+) Classes,Camden Community Center,29,06/10/2015,29/10/2015,09:00 a. m.,10:00 a. m.,50,0,Tu Th,8,8, $48.00 
257.2.1814,Sculling or Rowing,Dance Fit,Fall 2015,Closed,Active Adults (50+) Classes,Camden Community Center,30,03/11/2015,24/11/2015,09:00 a. m.,10:00 a. m.,50,0,Tu Th,7,7, $43.00 
257.2.1816,Sculpting,Dance Fit,Fall 2015,Closed,Active Adults (50+) Classes,Camden Community Center,31,01/12/2015,17/12/2015,09:00 a. m.,10:00 a. m.,50,0,Tu Th,6,6, $38.00 
257.2.1815,Sculpture,Enhance Fitness,Fall 2015,Closed,Active Adults (50+) Classes,Camden Community Center,33,05/10/2015,10/12/2015,10:15 a. m.,11:15 a. m.,50,0,M Th,18,18, $67.00 
257.2.1817,Seaglass collecting,Enhance Fitness,Fall 2015,Closed,Active Adults (50+) Classes,Camden Community Center,11,05/10/2015,10/12/2015,11:30 a. m.,12:30 p. m.,50,0,M Th,18,18, $67.00 
008.2.1815,Seashell collecting,Family Camp near Yosemite,Fall 2015,Closed,Active Adults (50+) Classes,Camden Community Center,44,16/09/2015,18/09/2015,03:00 p. m.,06:00 a. m.,50,0,W Th F,31,3, $108.00 
257.2.1819,Seashells,Feldenkrais,Fall 2015,Closed,Active Adults (50+) Classes,Camden Community Center,12,15/09/2015,08/12/2015,01:30 p. m.,02:30 p. m.,50,0,Tu,13,13, $70.00 
257.2.1843,Self-Improvement,Matter of Balance,Fall 2015,Closed,Active Adults (50+) Classes,Camden Community Center,5,08/10/2015,19/11/2015,01:00 p. m.,03:00 p. m.,50,0,Th,14,7, $49.00 
008.2.1817,Self-Improvement Courses,Transportation to Family Camp,Fall 2015,Closed,Active Adults (50+) Classes,Camden Community Center,31,16/09/2015,18/09/2015,08:00 a. m.,02:00 p. m.,50,0,W F,12,2, $83.00 
257.2.1890,Service,Yoga Gentle,Fall 2015,Closed,Active Adults (50+) Classes,Camden Community Center,15,26/08/2015,30/09/2015,10:15 a. m.,11:15 a. m.,50,0,W,6,6, $39.00 
257.2.1891,Sewing,Yoga Gentle,Fall 2015,Closed,Active Adults (50+) Classes,Camden Community Center,14,07/10/2015,04/11/2015,10:15 a. m.,11:15 a. m.,50,0,W,5,5, $32.00 
257.2.1892,Shoes,Yoga Gentle,Fall 2015,Closed,Active Adults (50+) Classes,Camden Community Center,11,18/11/2015,16/12/2015,10:15 a. m.,11:15 a. m.,50,0,W,5,5, $32.00 
256.2.1831,Shooting guns,Cardio Circuit for the Active Adult,Fall 2015,Closed,Active Adults (50+) Classes,Cypress Community & Senior Center,6,14/09/2015,07/12/2015,08:00 a. m.,09:00 a. m.,50,0,M,12,12, $68.00 
256.2.1821,Shooting sport,Chair Exercise,Fall 2015,Closed,Active Adults (50+) Classes,Cypress Community & Senior Center,6,15/09/2015,10/12/2015,12:30 p. m.,01:30 p. m.,50,0,Tu Th,24,24, $104.00 
